X;Y;Slope_G4;Aspect_G4;DEM_G4;d100_a110_
595983.777;6740519.75;52.0555;91.11783;2200;-12.48
595989.623;6740527.82;52.0555;91.11783;2200;-12.48
595995.509;6740535.94;52.0555;91.11783;2200;-12.48
595964.905;6740493.71;48.66533;70.5687;2206;-2.26
595970.775;6740501.81;48.66533;70.5687;2206;-2.26
595976.645;6740509.91;52.0555;91.11783;2200;-12.48
595949.658;6740470.05;46.80097;81.72713;2250;-25.75
595954.813;6740478.6;46.80097;81.72713;2250;-25.75
595959.035;6740485.6;46.80097;81.72713;2250;-25.75
595934.353;6740445.64;40.96638;75.61348;2261;-19.98
595939.747;6740454.06;40.96638;75.61348;2261;-19.98
595944.489;6740461.47;40.96638;75.61348;2261;-19.98
595917.298;6740419.86;30.95115;97.79208;2293;-25.01
595922.887;6740428.17;32.86966;85.55876;2266;-16.3
595928.459;6740436.46;40.96638;75.61348;2261;-19.98
595901.221;6740394.86;30.95115;97.79208;2293;-25.01
595906.545;6740403.33;30.95115;97.79208;2293;-25.01
595911.727;6740411.56;30.95115;97.79208;2293;-25.01
595882.912;6740369.34;28.20727;105.89952;2287;-20.78
595888.956;6740377.28;28.20727;105.89952;2287;-20.78
595895.02;6740385.24;28.20727;105.89952;2287;-20.78
595866.281;6740344.47;24.89123;115.52969;2297;-23.03
595871.573;6740352.94;23.66531;113.09129;2305;-24.23
595876.848;6740361.38;23.66531;113.09129;2305;-24.23
595849.276;6740319.21;24.89123;115.52969;2297;-23.03
595854.994;6740327.41;24.89123;115.52969;2297;-23.03
595860.712;6740335.61;24.89123;115.52969;2297;-23.03
595831.699;6740294.76;24.64534;114.12099;2306;-24.23
595837.584;6740302.82;24.64534;114.12099;2306;-24.23
595843.487;6740310.91;24.89123;115.52969;2297;-23.03
595814.465;6740269.88;24.64534;114.12099;2306;-24.23
595820.071;6740278.19;24.64534;114.12099;2306;-24.23
595825.661;6740286.48;24.64534;114.12099;2306;-24.23
595799.504;6740245.86;23.56001;115.46335;2315;-23.03
595804.611;6740254.44;25.95287;114.26129;2298;-23.12
595808.876;6740261.6;25.95287;114.26129;2298;-23.12
595781.976;6740220.13;25.24456;119.79196;2307;-23.03
595787.832;6740228.21;23.56001;115.46335;2315;-23.03
595793.706;6740236.32;23.56001;115.46335;2315;-23.03
595767.04;6740196.05;25.24456;119.79196;2307;-23.03
595771.984;6740204.76;25.24456;119.79196;2307;-23.03
595776.101;6740212.02;25.24456;119.79196;2307;-23.03
595752.148;6740169.4;26.57856;121.20914;2313;-23.03
595757.01;6740178.16;26.57856;121.20914;2313;-23.03
595761.858;6740186.9;27.92605;124.43899;2296;-24.23
