X,Y,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,ogr_X,ogr_Y
601526.399522385,6753566.68487864,,,,,G02_AFC01,,,,,,,,,,,,,,,,,,,-139.1283231722,60.9042062047
601658.327387284,6753399.25907976,,,,,G02_AFC02,,,,,,,,,,,,,,,,,,,-139.125980752,60.9026700284
601815.238615713,6753008.05294158,,,,,G02_AFC03,,,,,,,,,,,,,,,,,,,-139.1232963417,60.899119363
601833.952250085,6753874.01265922,,,,,G02_AFC04,,,,,,,,,,,,,,,,,,,-139.1224947105,60.906884999
601330.525296964,6753702.41382775,,,,,G02_AFC05,,,,,,,,,,,,,,,,,,,-139.1318606563,60.9054742763
601130.411588572,6753803.17967722,,,,,G02_AFC06,,,,,,,,,,,,,,,,,,,-139.1354948612,60.9064296045
601452.429569123,6753947.8141011,,,,,G02_AFC07,,,,,,,,,,,,,,,,,,,-139.1294855947,60.907645118
602042.252570125,6753349.68187875,,,,,G02_AFC08,,,,,,,,,,,,,,,,,,,-139.1189339751,60.9021264822
601496.95470871,6753204.41074584,,,,,G02_AFC09,,,,,,,,,,,,,,,,,,,-139.1290561683,60.9009629722
601269.968048982,6753457.2624072,,,,,G02_AFC10,,,,,,,,,,,,,,,,,,,-139.1331050456,60.9032899498
595387.441666756,6742227.93854031,,,,,G04_AFC01,,,,,,,,,,,,,,,,,,,-139.2470170387,60.803979077
595125.979960404,6742302.38807131,,,,,G04_AFC02,,,,,,,,,,,,,,,,,,,-139.2517829861,60.8047097872
595121.406912183,6742411.32999957,,,,,G04_AFC03,,,,,,,,,,,,,,,,,,,-139.251813668,60.8056885242
595150.309183061,6742067.02008737,,,,,G04_AFC04,,,,,,,,,,,,,,,,,,,-139.2514513195,60.8025917797
595243.666023612,6742232.66724863,,,,,G04_AFC05,,,,,,,,,,,,,,,,,,,-139.2496555094,60.8040559573
595141.98596175,6742159.43927069,,,,,G04_AFC06,,,,,,,,,,,,,,,,,,,-139.2515589574,60.8034231389
594968.848015682,6742190.92875833,,,,,G04_AFC07,,,,,,,,,,,,,,,,,,,-139.254723624,60.803747091
594845.907639663,6742100.02520593,,,,,G04_AFC08,,,,,,,,,,,,,,,,,,,-139.2570260668,60.8029606481
594777.853986189,6741834.33358096,,,,,G04_AFC09,,,,,,,,,,,,,,,,,,,-139.2584055287,60.8005925422
594607.205644059,6740962.61615815,,,,,G04_AFC10,,,,,,,,,,,,,,,,,,,-139.261963633,60.7928103193
605936.32870083,6761327.81734303,,,,,G13_AFC01,,,,,,,,,,,,,,,,,,,-139.042808108,60.9726905387
606033.369326631,6761190.81880425,,,,,G13_AFC02,,,,,,,,,,,,,,,,,,,-139.0410921409,60.9714352634
605942.036974579,6761510.482049,,,,,G13_AFC03,,,,,,,,,,,,,,,,,,,-139.0426019381,60.9743280042
606118.993412894,6761710.27157573,,,,,G13_AFC04,,,,,,,,,,,,,,,,,,,-139.0392242929,60.9760731635
606370.157387766,6761967.14383023,,,,,G13_AFC05,,,,,,,,,,,,,,,,,,,-139.0344443755,60.9783104453
605656.62336314,6761322.10906819,,,,,G13_AFC06,,,,,,,,,,,,,,,,,,,-139.04797532,60.9727142119
605563.444763394,6761244.67864902,,,,,G13_AFC07,,,,,,,,,,,,,,,,,,,-139.0497382015,60.9720443537
605707.997811032,6761653.18885313,,,,,G13_AFC08,,,,,,,,,,,,,,,,,,,-139.0468445456,60.9756711586
605582.415821317,6761818.72874823,,,,,G13_AFC09,,,,,,,,,,,,,,,,,,,-139.0490722852,60.9771900848
605399.751110209,6762024.22654881,,,,,G13_AFC10,,,,,,,,,,,,,,,,,,,-139.0523323895,60.9790827416
