X,Y,fid,cng_(Meters),Coordinates
598337.783718437538482,6755426.48657205235213,0,0,
598356.226386463968083,6755434.224013235419989,0,20,
598374.669054490397684,6755441.961454419419169,0,40,
598393.11172251671087,6755449.698895602487028,0,60,
598411.554390543140471,6755457.436336786486208,0,80,
598429.997058569570072,6755465.173777969554067,0,100,
598448.439726595999673,6755472.911219153553247,0,120,
598466.882394622312859,6755480.648660336621106,0,140,
598485.32506264874246,6755488.386101520620286,0,160,
598503.767730675172061,6755496.123542703688145,0,180,
598522.210398701601662,6755503.860983886756003,0,200,
598540.653066728031263,6755511.598425070755184,0,220,
598559.095734754344448,6755519.335866253823042,0,240,
598577.538402780774049,6755527.073307437822223,0,260,
598595.98107080720365,6755534.810748620890081,0,280,
598614.423738833633251,6755542.548189804889262,0,300,
598632.866406860062853,6755550.28563098795712,0,320,
598651.309074886376038,6755558.023072171956301,0,340,
598669.751742912805639,6755565.760513355024159,0,360,
598688.19441093923524,6755573.497954538092017,0,380,
598706.637078965664841,6755581.235395722091198,0,400,
598725.079746991978027,6755588.972836905159056,0,420,
598743.522415018407628,6755596.710278089158237,0,440,
598761.965083044837229,6755604.447719272226095,0,460,
598780.40775107126683,6755612.185160456225276,0,480,
598798.850419097696431,6755619.922601639293134,0,500,
598817.293087124009617,6755627.660042823292315,0,520,
598834.408090951968916,6755633.393653226085007,0,540,
598834.473025674698874,6755613.39375863969326,0,560,
598834.537960397312418,6755593.393864052370191,0,580,
598834.602895120042376,6755573.393969465978444,0,600,
598834.667829842772335,6755553.394074879586697,0,620,
598834.732764565385878,6755533.394180292263627,0,640,
598834.797699288115837,6755513.39428570587188,0,660,
598834.86263401072938,6755493.39439111854881,0,680,
598834.927568733459339,6755473.394496532157063,0,700,
598834.992503456189297,6755453.394601945765316,0,720,
598835.05743817880284,6755433.394707358442247,0,740,
598835.122372901532799,6755413.3948127720505,0,760,
598835.187307624146342,6755393.39491818472743,0,780,
598835.252242346876301,6755373.395023598335683,0,800,
598835.317177069606259,6755353.395129011943936,0,820,
598835.382111792219803,6755333.395234424620867,0,840,
598835.447046514949761,6755313.39533983822912,0,860,
598835.511981237563305,6755293.39544525090605,0,880,
598835.576915960293263,6755273.395550664514303,0,900,
598835.641850683023222,6755253.395656077191234,0,920,
598835.706785405636765,6755233.395761490799487,0,940,
598835.771720128366724,6755213.39586690440774,0,960,
598835.836654850980267,6755193.39597231708467,0,980,
598835.901589573710226,6755173.396077730692923,0,1000,
598835.966524296440184,6755153.396183143369853,0,1020,
598836.031459019053727,6755133.396288556978106,0,1040,
598836.096393741783686,6755113.39639397058636,0,1060,
598836.161328464397229,6755093.39649938326329,0,1080,
598836.226263187127188,6755073.396604796871543,0,1100,
598836.291197909857146,6755053.396710209548473,0,1120,
598836.35613263247069,6755033.396815623156726,0,1140,
598836.421067355200648,6755013.396921036764979,0,1160,
598836.486002077930607,6754993.39702644944191,0,1180,
598836.55093680054415,6754973.397131863050163,0,1200,
598836.615871523274109,6754953.397237275727093,0,1220,
598836.680806245887652,6754933.397342689335346,0,1240,
598836.745740968617611,6754913.397448102943599,0,1260,
598836.810675691347569,6754893.39755351562053,0,1280,
598836.875610413961112,6754873.397658929228783,0,1300,
598836.940545136691071,6754853.397764341905713,0,1320,
598837.005479859304614,6754833.397869755513966,0,1340,
598837.070414582034573,6754813.397975169122219,0,1360,
598837.135349304764532,6754793.39808058179915,0,1380,
598837.200284027378075,6754773.398185995407403,0,1400,
598839.255667664925568,6754757.03222044929862,0,1420,
598856.143835789058357,6754767.746219581924379,0,1440,
598873.032003913191147,6754778.460218714550138,0,1460,
598889.920172037323937,6754789.174217847175896,0,1480,
598906.808340161456726,6754799.888216979801655,0,1500,
598923.696508285589516,6754810.602216112427413,0,1520,
598940.584676409722306,6754821.316215245053172,0,1540,
598957.472844533855096,6754832.030214376747608,0,1560,
598974.361012657987885,6754842.744213509373367,0,1580,
598991.249180782120675,6754853.458212641999125,0,1600,
599008.137348906253465,6754864.172211774624884,0,1620,
599025.025517030386254,6754874.886210907250643,0,1640,
599041.913685154519044,6754885.600210039876401,0,1660,
599058.801853278651834,6754896.31420917250216,0,1680,
599075.690021402784623,6754907.028208304196596,0,1700,
599092.578189526917413,6754917.742207436822355,0,1720,
599109.466357651050203,6754928.456206569448113,0,1740,
599126.354525775182992,6754939.170205702073872,0,1760,
599143.242693899315782,6754949.884204834699631,0,1780,
599160.130862023448572,6754960.598203967325389,0,1800,
599177.019030147581361,6754971.312203099951148,0,1820,
599193.907198271714151,6754982.026202232576907,0,1840,
599210.795366395846941,6754992.740201364271343,0,1860,
599227.68353451997973,6755003.454200496897101,0,1880,
599244.57170264411252,6755014.16819962952286,0,1900,
599261.45987076824531,6755024.882198762148619,0,1920,
599278.348038892378099,6755035.596197894774377,0,1940,
599295.236207016510889,6755046.310197027400136,0,1960,
599312.124375140643679,6755057.024196160025895,0,1980,
