X;Y;fid;cng_(Meters);LABEL;MAP_LABEL
598888.63198577;6755489.27756626;1;0;G02_LC001;G02_LC001
598628.730911267;6755455.93081347;1;270;G02_LC010;G02_LC010
598600.15060226;6755187.87252658;1;570;G02_LC020;G02_LC020
598817.434745598;6754997.20146082;1;870;G02_LC030;G02_LC030
599082.461762392;6755057.72747943;1;1170;G02_LC040;G02_LC040
599050.961179828;6755327.24758302;1;1470;G02_LC050;G02_LC050
598337.783718438;6755426.48657205;0;0;G02_LH001;G02_LH001
598586.759736794;6755530.94202803;0;270;G02_LH010;G02_LH010
598834.505493036;6755603.39381135;0;570;G02_LH020;G02_LH020
598835.479513876;6755303.39539255;0;870;G02_LH030;G02_LH030
598836.453534717;6755003.39697374;0;1170;G02_LH040;G02_LH040
598881.476087975;6754783.81721828;0;1470;G02_LH050;G02_LH050
599134.798609837;6754944.52720527;0;1770;G02_LH060;G02_LH060
599345.688627842;6755100.11539194;0;2070;G02_LH070;G02_LH070
599061.401978763;6755195.93345472;0;2370;G02_LH080;G02_LH080
598777.115329684;6755291.7515175;0;2670;G02_LH090;G02_LH090
598492.828680604;6755387.56958028;0;2970;G02_LH100;G02_LH100
600181.39096919;6754609.54986261;3;0;G02_UC001;G02_UC001
599919.312155889;6754629.09595776;3;270;G02_UC010;G02_UC010
599723.555797722;6754436.35326135;3;570;G02_UC020;G02_UC020
599829.55853346;6754172.6565987;3;870;G02_UC030;G02_UC030
600101.665268598;6754052.36508535;3;1170;G02_UC040;G02_UC040
600387.624498234;6754086.78206413;3;1470;G02_UC050;G02_UC050
600515.996414275;6754341.47070674;3;1770;G02_UC060;G02_UC060
600347.976214381;6754547.42526277;3;2070;G02_UC070;G02_UC070
599488.232175166;6754280.50308853;2;0;G02_UH001;G02_UH001
599593.975476346;6754528.93487848;2;270;G02_UH010;G02_UH010
599711.503189787;6754804.6578348;2;570;G02_UH020;G02_UH020
599887.414292146;6754561.64490496;2;870;G02_UH030;G02_UH030
600063.325394505;6754318.63197513;2;1170;G02_UH040;G02_UH040
600239.236496863;6754075.61904529;2;1470;G02_UH050;G02_UH050
600415.147599222;6753832.60611546;2;1770;G02_UH060;G02_UH060
600533.973372518;6754056.1891352;2;2070;G02_UH070;G02_UH070
