X;Y;fid;cng_(Meters);LABEL;MAP_LABEL
598985.080221981;6754445.06812979;0;0;G02_UT001;G02_UT001
599006.739868134;6754465.82529069;0;30;G02_UT002;G02_UT002
599028.399514288;6754486.58245158;0;60;G02_UT003;G02_UT003
599050.059160441;6754507.33961248;0;90;G02_UT004;G02_UT004
599071.718806595;6754528.09677338;0;120;G02_UT005;G02_UT005
599093.378452748;6754548.85393427;0;150;G02_UT006;G02_UT006
599115.038098902;6754569.61109517;0;180;G02_UT007;G02_UT007
599136.697745055;6754590.36825607;0;210;G02_UT008;G02_UT008
599158.357391209;6754611.12541696;0;240;G02_UT009;G02_UT009
599180.017037362;6754631.88257786;0;270;G02_UT010;G02_UT010
599201.676683516;6754652.63973876;0;300;G02_UT011;G02_UT011
599223.336329669;6754673.39689966;0;330;G02_UT012;G02_UT012
599244.995975823;6754694.15406055;0;360;G02_UT013;G02_UT013
599266.655621976;6754714.91122145;0;390;G02_UT014;G02_UT014
599288.31526813;6754735.66838235;0;420;G02_UT015;G02_UT015
599309.974914283;6754756.42554324;0;450;G02_UT016;G02_UT016
599331.634560437;6754777.18270414;0;480;G02_UT017;G02_UT017
599353.29420659;6754797.93986504;0;510;G02_UT018;G02_UT018
599374.953852743;6754818.69702594;0;540;G02_UT019;G02_UT019
599396.613498897;6754839.45418683;0;570;G02_UT020;G02_UT020
599418.27314505;6754860.21134773;0;600;G02_UT021;G02_UT021
599439.932791204;6754880.96850863;0;630;G02_UT022;G02_UT022
599461.592437357;6754901.72566952;0;660;G02_UT023;G02_UT023
599483.252083511;6754922.48283042;0;690;G02_UT024;G02_UT024
599504.911729664;6754943.23999132;0;720;G02_UT025;G02_UT025
599526.571375818;6754963.99715222;0;750;G02_UT026;G02_UT026
598114.568710688;6755983.44748909;1;0;G02_LT001;G02_LT001
598142.63962928;6755994.03160594;1;30;G02_LT002;G02_LT002
598170.710547872;6756004.61572278;1;60;G02_LT003;G02_LT003
598198.781466463;6756015.19983963;1;90;G02_LT004;G02_LT004
598226.852385055;6756025.78395647;1;120;G02_LT005;G02_LT005
598254.923303647;6756036.36807332;1;150;G02_LT006;G02_LT006
598282.994222239;6756046.95219017;1;180;G02_LT007;G02_LT007
598311.065140831;6756057.53630701;1;210;G02_LT008;G02_LT008
598339.136059422;6756068.12042386;1;240;G02_LT009;G02_LT009
598367.206978014;6756078.7045407;1;270;G02_LT010;G02_LT010
598395.277896606;6756089.28865755;1;300;G02_LT011;G02_LT011
598423.348815198;6756099.8727744;1;330;G02_LT012;G02_LT012
598451.41973379;6756110.45689124;1;360;G02_LT013;G02_LT013
602377.220979921;6765205.16123658;2;0;G13_LT001;G13_LT001
602401.322671751;6765223.02484346;2;30;G13_LT002;G13_LT002
602425.42436358;6765240.88845035;2;60;G13_LT003;G13_LT003
602449.52605541;6765258.75205723;2;90;G13_LT004;G13_LT004
602473.627747239;6765276.61566412;2;120;G13_LT005;G13_LT005
602497.729439069;6765294.47927101;2;150;G13_LT006;G13_LT006
602521.831130898;6765312.34287789;2;180;G13_LT007;G13_LT007
602545.932822728;6765330.20648478;2;210;G13_LT008;G13_LT008
602570.034514557;6765348.07009166;2;240;G13_LT009;G13_LT009
602594.136206387;6765365.93369855;2;270;G13_LT010;G13_LT010
602618.237898216;6765383.79730543;2;300;G13_LT011;G13_LT011
602642.339590046;6765401.66091232;2;330;G13_LT012;G13_LT012
602666.441281875;6765419.5245192;2;360;G13_LT013;G13_LT013
602690.542973705;6765437.38812609;2;390;G13_LT014;G13_LT014
602714.644665534;6765455.25173297;2;420;G13_LT015;G13_LT015
602738.746357364;6765473.11533986;2;450;G13_LT016;G13_LT016
602762.848049193;6765490.97894675;2;480;G13_LT017;G13_LT017
602786.949741023;6765508.84255363;2;510;G13_LT018;G13_LT018
602811.051432852;6765526.70616052;2;540;G13_LT019;G13_LT019
602835.153124682;6765544.5697674;2;570;G13_LT020;G13_LT020
602859.254816511;6765562.43337429;2;600;G13_LT021;G13_LT021
603433.251337883;6763635.38638015;3;0;G13_UT001;G13_UT001
603455.557604706;6763655.44704964;3;30;G13_UT002;G13_UT002
603477.863871528;6763675.50771913;3;60;G13_UT003;G13_UT003
603500.170138351;6763695.56838862;3;90;G13_UT004;G13_UT004
603522.476405173;6763715.62905811;3;120;G13_UT005;G13_UT005
603544.782671996;6763735.68972761;3;150;G13_UT006;G13_UT006
603567.088938818;6763755.7503971;3;180;G13_UT007;G13_UT007
603589.395205641;6763775.81106659;3;210;G13_UT008;G13_UT008
603611.701472463;6763795.87173608;3;240;G13_UT009;G13_UT009
603634.007739286;6763815.93240557;3;270;G13_UT010;G13_UT010
603656.314006108;6763835.99307506;3;300;G13_UT011;G13_UT011
603678.620272931;6763856.05374455;3;330;G13_UT012;G13_UT012
603700.926539753;6763876.11441404;3;360;G13_UT013;G13_UT013
603723.232806576;6763896.17508354;3;390;G13_UT014;G13_UT014
603745.539073398;6763916.23575303;3;420;G13_UT015;G13_UT015
603767.845340221;6763936.29642252;3;450;G13_UT016;G13_UT016
603790.151607043;6763956.35709201;3;480;G13_UT017;G13_UT017
603812.457873866;6763976.4177615;3;510;G13_UT018;G13_UT018
603834.764140688;6763996.47843099;3;540;G13_UT019;G13_UT019
603857.070407511;6764016.53910049;3;570;G13_UT020;G13_UT020
603879.376674333;6764036.59976998;3;600;G13_UT021;G13_UT021
603901.682941156;6764056.66043947;3;630;G13_UT022;G13_UT022
603923.989207978;6764076.72110896;3;660;G13_UT023;G13_UT023
603946.295474801;6764096.78177845;3;690;G13_UT024;G13_UT024
603968.601741624;6764116.84244794;3;720;G13_UT025;G13_UT025
603990.908008446;6764136.90311743;3;750;G13_UT026;G13_UT026
604013.214275269;6764156.96378692;3;780;G13_UT027;G13_UT027
604035.520542091;6764177.02445642;3;810;G13_UT028;G13_UT028
604057.826808914;6764197.08512591;3;840;G13_UT029;G13_UT029
604080.133075736;6764217.1457954;3;870;G13_UT030;G13_UT030
604102.439342559;6764237.20646489;3;900;G13_UT031;G13_UT031
604124.745609381;6764257.26713438;3;930;G13_UT032;G13_UT032
604147.051876204;6764277.32780387;3;960;G13_UT033;G13_UT033
604169.358143026;6764297.38847336;3;990;G13_UT034;G13_UT034
604191.664409849;6764317.44914286;3;1020;G13_UT035;G13_UT035
604213.970676671;6764337.50981235;3;1050;G13_UT036;G13_UT036
604236.276943494;6764357.57048184;3;1080;G13_UT037;G13_UT037
604258.583210316;6764377.63115133;3;1110;G13_UT038;G13_UT038
604280.889477139;6764397.69182082;3;1140;G13_UT039;G13_UT039
597128.46468724;6739440.87463841;4;0;G04_LT001;G04_LT001
597136.334424575;6739469.82402932;4;30;G04_LT002;G04_LT002
597144.204161911;6739498.77342023;4;60;G04_LT003;G04_LT003
597152.073899247;6739527.72281115;4;90;G04_LT004;G04_LT004
597159.943636583;6739556.67220206;4;120;G04_LT005;G04_LT005
597167.813373918;6739585.62159298;4;150;G04_LT006;G04_LT006
597175.683111254;6739614.57098389;4;180;G04_LT007;G04_LT007
597183.55284859;6739643.5203748;4;210;G04_LT008;G04_LT008
597191.422585926;6739672.46976572;4;240;G04_LT009;G04_LT009
