X;Y;ID;GLACIER;ZONE;PRIORITY;name
-139.103835448;61.0119882609;0;G13;1;A;G13_Z1A_SWE
-139.1022608569;61.0117522933;1;G13;1;B;G13_Z1B_SWE
-139.1045169997;61.0154599752;2;G13;1;C;G13_Z1C_SWE
-139.1045153598;61.0084452143;3;G13;2;A;G13_Z2A_SWE
-139.0969009276;61.0053210232;4;G13;2;B;G13_Z2B_SWE
-139.0942475473;61.0076324368;5;G13;2;C;G13_Z2C_SWE
-139.0965726951;60.999197852;6;G13;3;A;G13_Z3A_SWE
-139.084781795;61.0021134481;7;G13;3;B;G13_Z3B_SWE
-139.0917709154;61.0018740784;8;G13;3;C;G13_Z3C_SWE
-139.0891475541;60.996960058;9;G13;4;A;G13_Z4A_SWE
-139.0783352564;60.9992001765;10;G13;4;B;G13_Z4B_SWE
-139.0788728095;60.9972182757;11;G13;4;C;G13_Z4C_SWE
-139.0664576266;60.9950482754;12;G13;5;A;G13_Z5A_SWE
-139.0802673615;60.9926698708;13;G13;5;B;G13_Z5B_SWE
-139.0797819768;60.9917686707;14;G13;5;C;G13_Z5C_SWE
-139.0646418948;60.9911656529;15;G13;6;A;G13_Z6A_SWE
-139.0562357161;60.9907177507;16;G13;6;B;G13_Z6B_SWE
-139.0702089802;60.9874157497;17;G13;6;C;G13_Z6C_SWE
-139.0577193907;60.9812946054;18;G13;7;A;G13_Z7A_SWE
-139.0580157936;60.9820109977;19;G13;7;B;G13_Z7B_SWE
-139.0646622445;60.9863380284;20;G13;7;C;G13_Z7C_SWE
-139.1862203786;60.9301128102;21;G02;1;A;G02_Z1A_SWE
-139.1903545548;60.930586623;22;G02;1;B;G02_Z1B_SWE
-139.1874647384;60.9309306426;23;G02;1;C;G02_Z1C_SWE
-139.1824534743;60.9261607481;24;G02;2;A;G02_Z2A_SWE
-139.1821782158;60.9238244489;25;G02;2;B;G02_Z2B_SWE
-139.1808061548;60.9251551368;26;G02;2;C;G02_Z2C_SWE
-139.1744829492;60.9198819897;27;G02;3;A;G02_Z3A_SWE
-139.1747729689;60.921224473;28;G02;3;B;G02_Z3B_SWE
-139.1775522127;60.9187414331;29;G02;3;C;G02_Z3C_SWE
-139.1706541548;60.9148414373;30;G02;4;A;G02_Z4A_SWE
-139.1647770024;60.9148212425;31;G02;4;B;G02_Z4B_SWE
-139.1742419856;60.9177541669;32;G02;4;C;G02_Z4C_SWE
-139.1623409249;60.9096175256;33;G02;5;A;G02_Z5A_SWE
-139.1639870235;60.9102940351;34;G02;5;B;G02_Z5B_SWE
-139.1573986182;60.913287872;35;G02;5;C;G02_Z5C_SWE
-139.1478201177;60.9138969424;36;G02;6;A;G02_Z6A_SWE
-139.1453983128;60.910615064;37;G02;6;B;G02_Z6B_SWE
-139.1455723456;60.9108269127;38;G02;6;C;G02_Z6C_SWE
-139.1429657851;60.9102481808;39;G02;7;A;G02_Z7A_SWE
-139.134039818;60.9097030562;40;G02;7;B;G02_Z7B_SWE
-139.1406217738;60.9064716726;41;G02;7;C;G02_Z7C_SWE
-139.2478329464;60.8019633252;42;G04;7;A;G04_Z7A_SWE
-139.24543847;60.8009629445;43;G04;7;B;G04_Z7B_SWE
-139.2496881461;60.7995002771;44;G04;7;C;G04_Z7C_SWE
-139.2544699276;60.7966355014;45;G04;6;A;G04_Z6A_SWE
-139.2543635261;60.7989175012;46;G04;6;B;G04_Z6B_SWE
-139.2555010756;60.7986673862;47;G04;6;C;G04_Z6C_SWE
-139.252513084;60.79065284;48;G04;5;A;G04_Z5A_SWE
-139.2507378107;60.7943881432;49;G04;5;B;G04_Z5B_SWE
-139.2447742077;60.7945007651;50;G04;5;C;G04_Z5C_SWE
-139.2420876015;60.7909871157;51;G04;4;A;G04_Z4A_SWE
-139.242140231;60.7873304412;52;G04;4;B;G04_Z4B_SWE
-139.2463048622;60.7909629387;53;G04;4;C;G04_Z4C_SWE
-139.2376484618;60.7874973079;54;G04;3;A;G04_Z3A_SWE
-139.2414533771;60.7854211953;55;G04;3;B;G04_Z3B_SWE
-139.2367240048;60.7890466822;56;G04;3;C;G04_Z3C_SWE
-139.2298079832;60.7834359046;57;G04;2;A;G04_Z2A_SWE
-139.2310306257;60.7817998645;58;G04;2;B;G04_Z2B_SWE
-139.2297329474;60.7807880252;59;G04;2;C;G04_Z2C_SWE
-139.2211703763;60.7833436293;60;G04;1;A;G04_Z1A_SWE
-139.2192676904;60.7830044002;61;G04;1;B;G04_Z1B_SWE
-139.2090028102;60.7817813656;62;G04;1;C;G04_Z1C_SWE
