X;Y;name
-139.103835448;61.0119882609;G13_Z1A_SWE
-139.1022608569;61.0117522933;G13_Z1B_SWE
-139.1045169997;61.0154599752;G13_Z1C_SWE
-139.1045153598;61.0084452143;G13_Z2A_SWE
-139.0969009276;61.0053210232;G13_Z2B_SWE
-139.0942475473;61.0076324368;G13_Z2C_SWE
-139.0965726951;60.999197852;G13_Z3A_SWE
-139.084781795;61.0021134481;G13_Z3B_SWE
-139.0917709154;61.0018740784;G13_Z3C_SWE
-139.0891475541;60.996960058;G13_Z4A_SWE
-139.0783352564;60.9992001765;G13_Z4B_SWE
-139.0788728095;60.9972182757;G13_Z4C_SWE
-139.0664576266;60.9950482754;G13_Z5A_SWE
-139.0802673615;60.9926698708;G13_Z5B_SWE
-139.0797819768;60.9917686707;G13_Z5C_SWE
-139.0646418948;60.9911656529;G13_Z6A_SWE
-139.0562357161;60.9907177507;G13_Z6B_SWE
-139.0702089802;60.9874157497;G13_Z6C_SWE
-139.0577193907;60.9812946054;G13_Z7A_SWE
-139.0580157936;60.9820109977;G13_Z7B_SWE
-139.0646622445;60.9863380284;G13_Z7C_SWE
-139.1862203786;60.9301128102;G02_Z1A_SWE
-139.1903545548;60.930586623;G02_Z1B_SWE
-139.1874647384;60.9309306426;G02_Z1C_SWE
-139.1824534743;60.9261607481;G02_Z2A_SWE
-139.1821782158;60.9238244489;G02_Z2B_SWE
-139.1808061548;60.9251551368;G02_Z2C_SWE
-139.1744829492;60.9198819897;G02_Z3A_SWE
-139.1747729689;60.921224473;G02_Z3B_SWE
-139.1775522127;60.9187414331;G02_Z3C_SWE
-139.1706541548;60.9148414373;G02_Z4A_SWE
-139.1647770024;60.9148212425;G02_Z4B_SWE
-139.1742419856;60.9177541669;G02_Z4C_SWE
-139.1623409249;60.9096175256;G02_Z5A_SWE
-139.1639870235;60.9102940351;G02_Z5B_SWE
-139.1573986182;60.913287872;G02_Z5C_SWE
-139.1478201177;60.9138969424;G02_Z6A_SWE
-139.1453983128;60.910615064;G02_Z6B_SWE
-139.1455723456;60.9108269127;G02_Z6C_SWE
-139.1429657851;60.9102481808;G02_Z7A_SWE
-139.134039818;60.9097030562;G02_Z7B_SWE
-139.1406217738;60.9064716726;G02_Z7C_SWE
-139.2478329464;60.8019633252;G04_Z7A_SWE
-139.24543847;60.8009629445;G04_Z7B_SWE
-139.2496881461;60.7995002771;G04_Z7C_SWE
-139.2544699276;60.7966355014;G04_Z6A_SWE
-139.2543635261;60.7989175012;G04_Z6B_SWE
-139.2555010756;60.7986673862;G04_Z6C_SWE
-139.252513084;60.79065284;G04_Z5A_SWE
-139.2507378107;60.7943881432;G04_Z5B_SWE
-139.2447742077;60.7945007651;G04_Z5C_SWE
-139.2420876015;60.7909871157;G04_Z4A_SWE
-139.242140231;60.7873304412;G04_Z4B_SWE
-139.2463048622;60.7909629387;G04_Z4C_SWE
-139.2376484618;60.7874973079;G04_Z3A_SWE
-139.2414533771;60.7854211953;G04_Z3B_SWE
-139.2367240048;60.7890466822;G04_Z3C_SWE
-139.2298079832;60.7834359046;G04_Z2A_SWE
-139.2310306257;60.7817998645;G04_Z2B_SWE
-139.2297329474;60.7807880252;G04_Z2C_SWE
-139.2211703763;60.7833436293;G04_Z1A_SWE
-139.2192676904;60.7830044002;G04_Z1B_SWE
-139.2090028102;60.7817813656;G04_Z1C_SWE
