X;Y;X;Y;ID;PRIORITY;name
602507.072129716;6765606.55999024;-139.103835448;61.0119882609;0;A;G13_Z1A_SWE
602592.939914545;6765582.75004974;-139.1022608569;61.0117522933;1;B;G13_Z1B_SWE
602459.043225233;6765992.07730217;-139.1045169997;61.0154599752;2;C;G13_Z1C_SWE
602481.743817124;6765210.96922835;-139.1045153598;61.0084452143;3;A;G13_Z2A_SWE
602903.458241914;6764875.02286595;-139.0969009276;61.0053210232;4;B;G13_Z2B_SWE
603039.41175415;6765136.57520548;-139.0942475473;61.0076324368;5;C;G13_Z2C_SWE
602941.021589288;6764193.71119811;-139.0965726951;60.999197852;6;A;G13_Z3A_SWE
603569.075583989;6764536.95606091;-139.084781795;61.0021134481;7;B;G13_Z3B_SWE
603191.976480658;6764499.27013789;-139.0917709154;61.0018740784;8;C;G13_Z3C_SWE
603349.779807239;6763956.22156651;-139.0891475541;60.996960058;9;A;G13_Z4A_SWE
603927.134847953;6764222.77032165;-139.0783352564;60.9992001765;10;B;G13_Z4B_SWE
603904.542960917;6764001.23018401;-139.0788728095;60.9972182757;11;C;G13_Z4C_SWE
604583.020286856;6763779.35708578;-139.0664576266;60.9950482754;12;A;G13_Z5A_SWE
603843.980119434;6763492.54776593;-139.0802673615;60.9926698708;13;B;G13_Z5B_SWE
603873.173144516;6763392.96757667;-139.0797819768;60.9917686707;14;C;G13_Z5C_SWE
604693.987822;6763349.92455214;-139.0646418948;60.9911656529;15;A;G13_Z6A_SWE
605150.111583049;6763313.51524676;-139.0562357161;60.9907177507;16;B;G13_Z6B_SWE
604405.198285941;6762923.4843273;-139.0702089802;60.9874157497;17;C;G13_Z6C_SWE
605100.984288609;6762261.86321546;-139.0577193907;60.9812946054;18;A;G13_Z7A_SWE
605082.583305833;6762341.15826317;-139.0580157936;60.9820109977;19;B;G13_Z7B_SWE
604708.772612518;6762812.33261407;-139.0646622445;60.9863380284;20;C;G13_Z7C_SWE
598306.57613429;6756363.2080842;-139.1862203786;60.9301128102;21;A;G02_Z1A_SWE
598081.086805483;6756409.77540222;-139.1903545548;60.930586623;22;B;G02_Z1B_SWE
598236.625032027;6756452.41123154;-139.1874647384;60.9309306426;23;C;G02_Z1C_SWE
598522.911127173;6755928.78679557;-139.1824534743;60.9261607481;24;A;G02_Z2A_SWE
598545.045544056;6755669.04497237;-139.1821782158;60.9238244489;25;B;G02_Z2B_SWE
598615.299242404;6755819.28550705;-139.1808061548;60.9251551368;26;C;G02_Z2C_SWE
598974.364007772;6755241.63235916;-139.1744829492;60.9198819897;27;A;G02_Z3A_SWE
598954.479457453;6755390.68458131;-139.1747729689;60.921224473;28;B;G02_Z3B_SWE
598811.518524281;6755109.99698836;-139.1775522127;60.9187414331;29;C;G02_Z3C_SWE
599197.57977805;6754686.13779542;-139.1706541548;60.9148414373;30;A;G02_Z4A_SWE
599516.278135982;6754692.79690323;-139.1647770024;60.9148212425;31;B;G02_Z4B_SWE
598994.026651092;6755005.05598723;-139.1742419856;60.9177541669;32;C;G02_Z4C_SWE
599664.598678273;6754117.04874108;-139.1623409249;60.9096175256;33;A;G02_Z5A_SWE
599573.229219276;6754189.87860007;-139.1639870235;60.9102940351;34;B;G02_Z5B_SWE
599921.10395686;6754533.27559804;-139.1573986182;60.913287872;35;C;G02_Z5C_SWE
600438.517795938;6754615.7351654;-139.1478201177;60.9138969424;36;A;G02_Z6A_SWE
600580.162050122;6754254.00343685;-139.1453983128;60.910615064;37;B;G02_Z6B_SWE
600570.058076336;6754277.32627439;-139.1455723456;60.9108269127;38;C;G02_Z6C_SWE
600713.217888547;6754216.88480847;-139.1429657851;60.9102481808;39;A;G02_Z7A_SWE
601198.941222067;6754169.93011347;-139.134039818;60.9097030562;40;B;G02_Z7B_SWE
600852.247443424;6753799.96607662;-139.1406217738;60.9064716726;41;C;G02_Z7C_SWE
595349.04586207;6742002.29090374;-139.2478329464;60.8019633252;42;A;G04_Z7A_SWE
595482.305383828;6741894.37600424;-139.24543847;60.8009629445;43;B;G04_Z7B_SWE
595255.422666951;6741725.32663281;-139.2496881461;60.7995002771;44;C;G04_Z7C_SWE
595003.716928673;6741399.39103173;-139.2544699276;60.7966355014;45;A;G04_Z6A_SWE
595002.746982357;6741653.6550783;-139.2543635261;60.7989175012;46;B;G04_Z6B_SWE
594941.588623455;6741624.15755668;-139.2555010756;60.7986673862;47;C;G04_Z6C_SWE
595127.945356276;6740736.03219995;-139.252513084;60.79065284;48;A;G04_Z5A_SWE
595213.482469601;6741154.54715285;-139.2507378107;60.7943881432;49;B;G04_Z5B_SWE
595537.696735387;6741175.75445758;-139.2447742077;60.7945007651;50;C;G04_Z5C_SWE
595694.38724055;6740788.41069007;-139.2420876015;60.7909871157;51;A;G04_Z4A_SWE
595702.430072419;6740381.15015437;-139.242140231;60.7873304412;52;B;G04_Z4B_SWE
595464.924364254;6740779.5769781;-139.2463048622;60.7909629387;53;C;G04_Z4C_SWE
595946.434275768;6740406.28914761;-139.2376484618;60.7874973079;54;A;G04_Z3A_SWE
595745.515096112;6740169.55060432;-139.2414533771;60.7854211953;55;B;G04_Z3B_SWE
595992.119750029;6740580.16898652;-139.2367240048;60.7890466822;56;C;G04_Z3C_SWE
596385.415979107;6739965.52601503;-139.2298079832;60.7834359046;57;A;G04_Z2A_SWE
596323.765827451;6739781.55304918;-139.2310306257;60.7817998645;58;B;G04_Z2B_SWE
596397.45436651;6739670.78666164;-139.2297329474;60.7807880252;59;C;G04_Z2C_SWE
596855.925779579;6739967.96576737;-139.2211703763;60.7833436293;60;A;G04_Z1A_SWE
596960.533113968;6739933.00081388;-139.2192676904;60.7830044002;61;B;G04_Z1B_SWE
597523.075533872;6739812.0200419;-139.2090028102;60.7817813656;62;C;G04_Z1C_SWE
