X;Y;name
-139.1856071085;60.9217966596;G02_LH002
-139.1850912101;60.9218939339;G02_LH003
-139.1845753086;60.9219912063;G02_LH004
-139.184059404;60.9220884768;G02_LH005
-139.1835434963;60.9221857452;G02_LH006
-139.1830275854;60.9222830116;G02_LH007
-139.1825116714;60.922380276;G02_LH008
-139.1819957543;60.9224775385;G02_LH009
-139.1809639108;60.9226720574;G02_LH011
-139.1804479844;60.9227693139;G02_LH012
-139.1799320548;60.9228665683;G02_LH013
-139.1794161222;60.9229638208;G02_LH014
-139.1789001864;60.9230610713;G02_LH015
-139.1783842475;60.9231583198;G02_LH016
-139.1778683055;60.9232555664;G02_LH017
-139.1773523604;60.9233528109;G02_LH018
-139.1768619158;60.9234324035;G02_LH019
-139.1768890951;60.9228939499;G02_LH021
-139.1769026843;60.9226247231;G02_LH022
-139.1769162732;60.9223554963;G02_LH023
-139.1769298619;60.9220862694;G02_LH024
-139.1769434503;60.9218170426;G02_LH025
-139.1769570384;60.9215478157;G02_LH026
-139.1769706263;60.9212785888;G02_LH027
-139.1769842139;60.9210093619;G02_LH028
-139.1769978012;60.920740135;G02_LH029
-139.177024975;60.9202016812;G02_LH031
-139.1770385615;60.9199324542;G02_LH032
-139.1770521478;60.9196632273;G02_LH033
-139.1770657338;60.9193940003;G02_LH034
-139.1770793195;60.9191247733;G02_LH035
-139.1770929049;60.9188555463;G02_LH036
-139.1771064901;60.9185863193;G02_LH037
-139.177120075;60.9183170923;G02_LH038
-139.1771336596;60.9180478652;G02_LH039
-139.1771608281;60.9175094111;G02_LH041
-139.1771744119;60.9172401841;G02_LH042
-139.1771879954;60.916970957;G02_LH043
-139.1772015787;60.9167017299;G02_LH044
-139.1772151617;60.9164325028;G02_LH045
-139.1772287445;60.9161632756;G02_LH046
-139.1772423269;60.9158940485;G02_LH047
-139.1772559091;60.9156248214;G02_LH048
-139.1769051317;60.9156591179;G02_LH049
-139.1759548517;60.9159348937;G02_LH051
-139.1754797055;60.916072779;G02_LH052
-139.1750045553;60.9162106626;G02_LH053
-139.1745294009;60.9163485445;G02_LH054
-139.1740542425;60.9164864247;G02_LH055
-139.17357908;60.9166243033;G02_LH056
-139.1731039134;60.9167621801;G02_LH057
-139.1726287427;60.9169000552;G02_LH058
-139.1721535679;60.9170379287;G02_LH059
-139.1712032061;60.9173136704;G02_LH061
-139.1707280191;60.9174515388;G02_LH062
-139.170252828;60.9175894054;G02_LH063
-139.1697776328;60.9177272704;G02_LH064
-139.1693024335;60.9178651336;G02_LH065
-139.1688272301;60.9180029952;G02_LH066
-139.1683520227;60.918140855;G02_LH067
-139.1678768111;60.9182787132;G02_LH068
-139.1674015955;60.9184165697;G02_LH069
-139.1682302266;60.9186122244;G02_LH071
-139.1687493042;60.918705335;G02_LH072
-139.1692683848;60.9187984436;G02_LH073
-139.1697874685;60.9188915503;G02_LH074
-139.1703065552;60.9189846549;G02_LH075
-139.170825645;60.9190777576;G02_LH076
-139.1713447379;60.9191708582;G02_LH077
-139.1718638338;60.9192639569;G02_LH078
-139.1723829328;60.9193570536;G02_LH079
-139.1734211399;60.919543241;G02_LH081
-139.1739402481;60.9196363317;G02_LH082
-139.1744593593;60.9197294204;G02_LH083
-139.1749784736;60.9198225072;G02_LH084
-139.1754975909;60.9199155919;G02_LH085
-139.1760167113;60.9200086747;G02_LH086
-139.1765358347;60.9201017554;G02_LH087
-139.1770549613;60.9201948342;G02_LH088
-139.1775740908;60.920287911;G02_LH089
-139.1786123592;60.9204740586;G02_LH091
-139.1791314979;60.9205671294;G02_LH092
-139.1796506397;60.9206601982;G02_LH093
-139.1801697846;60.9207532651;G02_LH094
-139.1806889325;60.9208463299;G02_LH095
-139.1812080835;60.9209393928;G02_LH096
-139.1817272376;60.9210324536;G02_LH097
-139.1822463947;60.9211255125;G02_LH098
-139.1827655548;60.9212185694;G02_LH099
-139.1838038844;60.9214046772;G02_LH101
-139.1843230537;60.9214977281;G02_LH102
-139.1848422261;60.921590777;G02_LH103
-139.1853614016;60.9216838239;G02_LH104
-139.1858805801;60.9217768689;G02_LH105
-139.1861230038;60.9216993832;G02_LH001
-139.1814798341;60.9225747989;G02_LH010
-139.1768755056;60.9231631767;G02_LH020
-139.1770113882;60.9204709081;G02_LH030
-139.177147244;60.9177786382;G02_LH040
-139.1764299937;60.9157970067;G02_LH050
-139.1716783891;60.9171758004;G02_LH060
-139.1677111521;60.9185191118;G02_LH070
-139.1729020348;60.9194501483;G02_LH080
-139.1780932235;60.9203809858;G02_LH090
-139.1832847181;60.9213116243;G02_LH100
-139.1764835668;60.9221649064;G02_LC002
