X;Y;name
-139.2011435663;60.7816388278;G04_LM001
-139.2016942481;60.7816325507;G04_LM002
-139.2022449297;60.7816262713;G04_LM003
-139.2027956112;60.7816199896;G04_LM004
-139.2033462925;60.7816137057;G04_LM005
-139.2038969736;60.7816074196;G04_LM006
-139.2044476546;60.7816011311;G04_LM007
-139.2049983353;60.7815948404;G04_LM008
-139.2055490159;60.7815885475;G04_LM009
-139.2060996963;60.7815822523;G04_LM010
-139.2066503765;60.7815759548;G04_LM011
-139.2072010566;60.7815696551;G04_LM012
-139.2077517365;60.7815633531;G04_LM013
-139.2083024162;60.7815570488;G04_LM014
-139.2088530957;60.7815507423;G04_LM015
-139.2094037751;60.7815444335;G04_LM016
-139.2099544542;60.7815381225;G04_LM017
-139.2105051332;60.7815318092;G04_LM018
-139.211055812;60.7815254936;G04_LM019
-139.2116064907;60.7815191758;G04_LM020
-139.2121571692;60.7815128558;G04_LM021
-139.2127078474;60.7815065334;G04_LM022
-139.2132585255;60.7815002088;G04_LM023
-139.2138092035;60.781493882;G04_LM024
-139.2143598812;60.7814875529;G04_LM025
-139.2149105588;60.7814812215;G04_LM026
-139.2154612362;60.7814748879;G04_LM027
-139.2160119134;60.781468552;G04_LM028
-139.2165625905;60.7814622138;G04_LM029
-139.2171132673;60.7814558734;G04_LM030
-139.217663944;60.7814495307;G04_LM031
-139.2182146205;60.7814431858;G04_LM032
-139.2187652968;60.7814368386;G04_LM033
-139.219315973;60.7814304892;G04_LM034
-139.219860625;60.7814373824;G04_LM035
-139.2203539027;60.7815572353;G04_LM036
-139.220847184;60.7816770863;G04_LM037
-139.2213404691;60.7817969356;G04_LM038
-139.2218337579;60.7819167831;G04_LM039
-139.2223270504;60.7820366287;G04_LM040
-139.2228203466;60.7821564726;G04_LM041
-139.2233136465;60.7822763147;G04_LM042
-139.2238069501;60.782396155;G04_LM043
-139.2243002575;60.7825159935;G04_LM044
-139.2247935685;60.7826358301;G04_LM045
-139.2252868832;60.782755665;G04_LM046
-139.2257802017;60.7828754981;G04_LM047
-139.2262735239;60.7829953294;G04_LM048
-139.2267668497;60.7831151588;G04_LM049
-139.2272601793;60.7832349865;G04_LM050
-139.2277535126;60.7833548124;G04_LM051
-139.2282468496;60.7834746365;G04_LM052
-139.2287401903;60.7835944588;G04_LM053
-139.2292335347;60.7837142792;G04_LM054
-139.2297268828;60.7838340979;G04_LM055
-139.2302202347;60.7839539148;G04_LM056
-139.2307135902;60.7840737299;G04_LM057
-139.2312069494;60.7841935431;G04_LM058
-139.2317003124;60.7843133546;G04_LM059
-139.2321936791;60.7844331643;G04_LM060
-139.2326870494;60.7845529722;G04_LM061
-139.2331783773;60.7846747287;G04_LM062
-139.2336652643;60.7848007197;G04_LM063
-139.2341521552;60.784926709;G04_LM064
-139.23463905;60.7850526966;G04_LM065
-139.2351259486;60.7851786824;G04_LM066
-139.235612851;60.7853046665;G04_LM067
-139.2360997573;60.7854306488;G04_LM068
-139.2365866674;60.7855566294;G04_LM069
-139.2370735814;60.7856826082;G04_LM070
-139.2375604992;60.7858085852;G04_LM071
-139.2380474209;60.7859345605;G04_LM072
-139.2384825244;60.786096408;G04_LM073
-139.2388882496;60.7862785947;G04_LM074
-139.2392939794;60.7864607801;G04_LM075
-139.2396997138;60.7866429643;G04_LM076
-139.2401054529;60.7868251473;G04_LM077
-139.2405111965;60.7870073291;G04_LM078
-139.2409169447;60.7871895097;G04_LM079
-139.2413226976;60.7873716891;G04_LM080
-139.241637226;60.7875239195;G04_UM001
-139.2420050949;60.7877244027;G04_UM002
-139.2423729684;60.7879248848;G04_UM003
-139.2427408464;60.7881253659;G04_UM004
-139.2431087291;60.788325846;G04_UM005
-139.2434766163;60.7885263252;G04_UM006
-139.2438445081;60.7887268033;G04_UM007
-139.2442124046;60.7889272804;G04_UM008
-139.2445803056;60.7891277566;G04_UM009
-139.2449482112;60.7893282317;G04_UM010
-139.2453161214;60.7895287059;G04_UM011
-139.2456840362;60.7897291791;G04_UM012
-139.2460519556;60.7899296512;G04_UM013
-139.2464198796;60.7901301224;G04_UM014
-139.2467878082;60.7903305926;G04_UM015
-139.2471557414;60.7905310618;G04_UM016
-139.2475236792;60.79073153;G04_UM017
-139.2478916215;60.7909319971;G04_UM018
-139.2482595685;60.7911324633;G04_UM019
-139.2486275201;60.7913329285;G04_UM020
-139.2489954762;60.7915333927;G04_UM021
-139.249363437;60.791733856;G04_UM022
-139.2497314023;60.7919343182;G04_UM023
-139.2500993723;60.7921347794;G04_UM024
-139.2504673468;60.7923352396;G04_UM025
-139.2508353259;60.7925356988;G04_UM026
-139.2512033097;60.7927361571;G04_UM027
-139.2513881543;60.792981201;G04_UM028
-139.2514938389;60.7932455168;G04_UM029
-139.2515995251;60.7935098326;G04_UM030
-139.2517052131;60.7937741483;G04_UM031
-139.2518109028;60.7940384639;G04_UM032
-139.2519165941;60.7943027794;G04_UM033
-139.2520222872;60.7945670948;G04_UM034
-139.252127982;60.7948314102;G04_UM035
-139.2522336785;60.7950957254;G04_UM036
-139.2523393767;60.7953600406;G04_UM037
-139.2524450766;60.7956243557;G04_UM038
-139.2525507782;60.7958886707;G04_UM039
-139.2526564815;60.7961529856;G04_UM040
-139.2527621866;60.7964173004;G04_UM041
-139.2528678933;60.7966816152;G04_UM042
-139.2529736017;60.7969459298;G04_UM043
-139.2530793119;60.7972102444;G04_UM044
-139.2531850237;60.7974745589;G04_UM045
-139.2532907373;60.7977388733;G04_UM046
-139.2532429614;60.7980033788;G04_UM047
-139.2531400032;60.7982679529;G04_UM048
-139.2530370433;60.798532527;G04_UM049
-139.2529340817;60.7987971009;G04_UM050
-139.2528311184;60.7990616748;G04_UM051
-139.2527281533;60.7993262486;G04_UM052
-139.2526251864;60.7995908222;G04_UM053
-139.2525222179;60.7998553958;G04_UM054
-139.2524192476;60.8001199693;G04_UM055
-139.2523162756;60.8003845427;G04_UM056
-139.2522133018;60.800649116;G04_UM057
-139.2521103263;60.8009136892;G04_UM058
-139.2520073491;60.8011782623;G04_UM059
-139.2519043701;60.8014428352;G04_UM060
-139.2518013894;60.8017074082;G04_UM061
-139.251698407;60.801971981;G04_UM062
-139.2515954228;60.8022365537;G04_UM063
-139.2514924369;60.8025011263;G04_UM064
-139.1894307829;60.9345132817;G02_LM001
-139.1893287815;60.9342485866;G02_LM002
-139.1892267818;60.9339838915;G02_LM003
-139.1891247838;60.9337191963;G02_LM004
-139.1890227874;60.9334545009;G02_LM005
-139.1889207926;60.9331898056;G02_LM006
-139.1888187995;60.9329251101;G02_LM007
-139.1887168081;60.9326604146;G02_LM008
-139.1886148183;60.9323957189;G02_LM009
-139.1885128302;60.9321310232;G02_LM010
-139.1884108438;60.9318663274;G02_LM011
-139.1883088589;60.9316016316;G02_LM012
-139.1882068758;60.9313369356;G02_LM013
-139.1881048943;60.9310722396;G02_LM014
-139.1880029145;60.9308075435;G02_LM015
-139.1879009363;60.9305428473;G02_LM016
-139.1877989598;60.930278151;G02_LM017
-139.1876969849;60.9300134547;G02_LM018
-139.1875950117;60.9297487583;G02_LM019
-139.1874930401;60.9294840618;G02_LM020
-139.1873910702;60.9292193652;G02_LM021
-139.1872891019;60.9289546685;G02_LM022
-139.1871871353;60.9286899718;G02_LM023
-139.1870851704;60.9284252749;G02_LM024
-139.1869293602;60.9281675929;G02_LM025
-139.1867459855;60.9279135018;G02_LM026
-139.1865626138;60.9276594105;G02_LM027
-139.1863792449;60.927405319;G02_LM028
-139.186195879;60.9271512272;G02_LM029
-139.1860125159;60.9268971352;G02_LM030
-139.1858291557;60.9266430429;G02_LM031
-139.1856457984;60.9263889504;G02_LM032
-139.185462444;60.9261348576;G02_LM033
-139.1852790925;60.9258807646;G02_LM034
-139.1850957439;60.9256266713;G02_LM035
-139.1849123981;60.9253725778;G02_LM036
-139.1847290553;60.9251184841;G02_LM037
-139.1845457153;60.9248643901;G02_LM038
-139.1843623783;60.9246102958;G02_LM039
-139.1841790441;60.9243562013;G02_LM040
-139.1839957128;60.9241021066;G02_LM041
-139.1838123844;60.9238480116;G02_LM042
-139.1835937236;60.9236035197;G02_LM043
-139.1832455094;60.9233942377;G02_LM044
-139.1828972999;60.9231849549;G02_LM045
-139.1825490948;60.9229756712;G02_LM046
-139.1822008944;60.9227663866;G02_LM047
-139.1818526985;60.9225571011;G02_LM048
-139.1815045072;60.9223478147;G02_LM049
-139.1811563204;60.9221385275;G02_LM050
-139.1808081382;60.9219292393;G02_LM051
-139.1804599605;60.9217199503;G02_LM052
-139.1801117874;60.9215106604;G02_LM053
-139.1797636189;60.9213013696;G02_LM054
-139.1794154549;60.9210920779;G02_LM055
-139.1790672955;60.9208827853;G02_LM056
