X;Y;name
-139.1746943463;60.9127313731;G02_UT001
-139.1742845205;60.9129122234;G02_UT002
-139.1738746901;60.9130930723;G02_UT003
-139.1734648551;60.91327392;G02_UT004
-139.1730550154;60.9134547664;G02_UT005
-139.1726451711;60.9136356116;G02_UT006
-139.1722353221;60.9138164555;G02_UT007
-139.1718254685;60.9139972981;G02_UT008
-139.1714156102;60.9141781394;G02_UT009
-139.1710057473;60.9143589795;G02_UT010
-139.1705958798;60.9145398182;G02_UT011
-139.1701860076;60.9147206558;G02_UT012
-139.1697761308;60.914901492;G02_UT013
-139.1693662493;60.915082327;G02_UT014
-139.1689563632;60.9152631607;G02_UT015
-139.1685464725;60.9154439931;G02_UT016
-139.1681365771;60.9156248243;G02_UT017
-139.1677266771;60.9158056541;G02_UT018
-139.1673167724;60.9159864827;G02_UT019
-139.1669068631;60.9161673101;G02_UT020
-139.1664969492;60.9163481361;G02_UT021
-139.1660870306;60.9165289609;G02_UT022
-139.1656771074;60.9167097845;G02_UT023
-139.1652671795;60.9168906067;G02_UT024
-139.164857247;60.9170714277;G02_UT025
-139.1644473098;60.9172522474;G02_UT026
-139.1899542933;60.9267526624;G02_LT001
-139.1894313455;60.9268406809;G02_LT002
-139.1889083949;60.9269286973;G02_LT003
-139.1883854414;60.9270167117;G02_LT004
-139.1878624851;60.927104724;G02_LT005
-139.1873395259;60.9271927343;G02_LT006
-139.1868165639;60.9272807426;G02_LT007
-139.186293599;60.9273687488;G02_LT008
-139.1857706313;60.927456753;G02_LT009
-139.1852476607;60.9275447551;G02_LT010
-139.1847246873;60.9276327552;G02_LT011
-139.184201711;60.9277207532;G02_LT012
-139.1836787318;60.9278087492;G02_LT013
-139.1064504575;61.0084202347;G13_LT001
-139.1059954132;61.00857427;G13_LT002
-139.1055403644;61.0087283038;G13_LT003
-139.1050853112;61.0088823359;G13_LT004
-139.1046302536;61.0090363666;G13_LT005
-139.1041751916;61.0091903956;G13_LT006
-139.1037201253;61.0093444231;G13_LT007
-139.1032650545;61.0094984491;G13_LT008
-139.1028099793;61.0096524735;G13_LT009
-139.1023548998;61.0098064963;G13_LT010
-139.1018998158;61.0099605176;G13_LT011
-139.1014447275;61.0101145373;G13_LT012
-139.1009896347;61.0102685555;G13_LT013
-139.1005345376;61.0104225721;G13_LT014
-139.1000794361;61.0105765872;G13_LT015
-139.0996243302;61.0107306006;G13_LT016
-139.0991692198;61.0108846126;G13_LT017
-139.0987141051;61.011038623;G13_LT018
-139.098258986;61.0111926318;G13_LT019
-139.0978038625;61.011346639;G13_LT020
-139.0973487346;61.0115006447;G13_LT021
-139.0877783433;60.994059369;G13_UT001
-139.0873554022;60.9942335267;G13_UT002
